"Max Distance Metric, x; Gender, x; AgeAtIndexDate, x; YearOfIndexDate, x; Duration of Therapy, x; asthma_ndc, x; ALL PSYCHIATRIC EVENTS, x; SEXUAL MATURITY DISORDERS, x; L1 Balance Metric, x","Max Distance Metric, y","Gender, y; asthma_ndc, y; ALL PSYCHIATRIC EVENTS, y; SEXUAL MATURITY DISORDERS, y","AgeAtIndexDate, y","YearOfIndexDate, y","Duration of Therapy, y","L1 Balance Metric, y"
4930d1,f64550,6a851b,156c86,e3affa,8766e7,35efc1
1960,0,0,0,0,0,0
1961,0,0,0,0,0,0
1962,0,0,0,0,0,0
1963,0,0,0,0,0,0
1964,0,0,0,0,0,0
1965,0,0,0,0,0,0
1966,0,0,0,0,0,0
1967,0,0,0,0,0,0
1968,0,0,0,0,0,0
1969,0,0,0,0,0,0
1970,0,0,0,0,0,0
1971,0,0,0,0,0,0
1972,0,0,0,0,0,0
1973,0,0,0,0,0,0
1974,0,0,0,0,0,0
1975,0,0,0,0,0,0
1976,0,0,0,0,0,0
1977,0,0,0,0,0,0
1978,0,0,0,0,0,0
1979,0,0,0,0,0,0
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,0,0,0,0
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,0,0,0,0,0
1989,0,0,0,0,0,0
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,0,0
2009,0,0,0,0,0,0
2010,0,0.0,0.0,0.0,0.0,0
2011,0.2641050685,0.0,0.0,0.0002295363,0.0,0.000497265
2012,0.2641050788,0.0,0.0,0.0004589424,0.0,0.0009940358
2013,0.3932170467,0.0,0.000288452,0.0004588106,0.0,0.001490313
2014,0.4147149257,0.0,0.0002882721,0.0004583359,0.0002516767,0.0019860973
2015,0.4147149877,0.0,0.0002881152,0.0004578627,0.000503197,0.0024813896
2016,0.4487053848,0.0,0.0002878439,0.0002288495,0.0007545953,0.0029761905
2017,0.7172211722,0.0,-0.0,0.0002286138,0.0010043533,0.0034705007
2018,0.7172212046,0.0,-0.0002876765,0.0002285485,0.0012550526,0.0039643211
2019,1.3130105144,0.0,-0.0005750727,0.0006854387,0.0012547318,0.0044576523
2020,5.9790854941,0.0,-0.0005748931,0.000456837,0.0022565919,0.004950495
