"Max Distance Metric, x; Gender, x; AgeAtIndexDate, x; YearOfIndexDate, x; Duration of Therapy, x; asthma_ndc, x; ALL PSYCHIATRIC EVENTS, x; SEXUAL MATURITY DISORDERS, x; L1 Balance Metric, x; Pruning Level, x","Max Distance Metric, y","Gender, y","AgeAtIndexDate, y","YearOfIndexDate, y","Duration of Therapy, y","asthma_ndc, y","ALL PSYCHIATRIC EVENTS, y","SEXUAL MATURITY DISORDERS, y","L1 Balance Metric, y","Pruning Level, y","Trace 10, x; Trace 11, x; Trace 12, x","Trace 10, y","Trace 11, y","Trace 12, y"
7665c2,5d4c3f,b982eb,e4d775,d20dee,c6e546,fe07b6,fb8eec,0492df,33506d,7fcb0a,330914,d92042,5242f1,c8f9b4
1960,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0,-0.0044818822,0.0
1961,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,8.7268e-06,-0.0035179229,9.90099e-05
1962,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,1.74536e-05,-0.0025539636,0.0001980198
1963,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,2.61804e-05,-0.0015900043,0.0002970297
1964,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,3.49073e-05,-0.0006260451,0.0003960396
1965,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,4.36341e-05,0.0003379142,0.0004950495
1966,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,5.23609e-05,0.0013018735,0.0005940594
1967,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,6.10877e-05,0.0022658328,0.0006930693
1968,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,6.98145e-05,0.0032297921,0.0007920792
1969,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,7.85413e-05,0.0041937514,0.0008910891
1970,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,8.72681e-05,0.0051577106,0.000990099
1971,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,9.59949e-05,0.0061216699,0.0010891089
1972,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001047218,0.0070856292,0.0011881188
1973,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001134486,0.0080495885,0.0012871287
1974,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001221754,0.0090135478,0.0013861386
1975,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001309022,0.0099775071,0.0014851485
1976,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.000139629,0.0109414663,0.0015841584
1977,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001483558,0.0119054256,0.0016831683
1978,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001570826,0.0128693849,0.0017821782
1979,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001658094,0.0138333442,0.0018811881
1980,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001745363,0.0147973035,0.001980198
1981,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001832631,0.0157612628,0.0020792079
1982,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0001919899,0.016725222,0.0021782178
1983,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002007167,0.0176891813,0.0022772277
1984,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002094435,0.0186531406,0.0023762376
1985,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002181703,0.0196170999,0.0024752475
1986,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002268971,0.0205810592,0.0025742574
1987,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002356239,0.0215450185,0.0026732673
1988,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002443508,0.0225089777,0.0027722772
1989,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002530776,0.023472937,0.0028712871
1990,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002618044,0.0244368963,0.002970297
1991,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002705312,0.0254008556,0.0030693069
1992,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.000279258,0.0263648149,0.0031683168
1993,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002879848,0.0273287742,0.0032673267
1994,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0002967116,0.0282927334,0.0033663366
1995,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003054384,0.0292566927,0.0034653465
1996,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003141653,0.030220652,0.0035643564
1997,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003228921,0.0311846113,0.0036633663
1998,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003316189,0.0321485706,0.0037623762
1999,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003403457,0.0331125298,0.0038613861
2000,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003490725,0.0340764891,0.003960396
2001,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003577993,0.0350404484,0.0040594059
2002,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003665261,0.0360044077,0.0041584158
2003,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003752529,0.036968367,0.0042574257
2004,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003839798,0.0379323263,0.0043564356
2005,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0003927066,0.0388962855,0.0044554455
2006,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0004014334,0.0398602448,0.0045544554
2007,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0004101602,0.0408242041,0.0046534653
2008,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.000418887,0.0417881634,0.0047524752
2009,0,0,0,0,0,0,0,0,0,2.1817e-05,2015,0.0004276138,0.0427521227,0.0048514851
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1817e-05,,,,
2011,1.3158e-06,0.0,0.0011545468,0.0002296511,0.0007581725,0.0,-0.0015032683,0.0119301506,0.000497265,2.1817e-05,,,,
2012,1.3207e-06,0.0010746456,0.0008652652,0.0006887447,0.0002526384,0.0,-0.0015002886,0.0223174815,0.0009940358,2.1817e-05,,,,
2013,9.9967e-06,0.0021480419,0.0020176447,0.0009178157,0.0005051426,0.0,-0.0014973265,0.0315597202,0.001490313,2.1817e-05,,,,
2014,1.26596e-05,0.0032178979,0.0011524223,0.0,0.0010099613,0.0,-0.0029912815,0.0199561447,0.0019860973,2.1817e-05,,,,
2015,1.61823e-05,0.003216748,0.0005759598,0.00068774,0.0,0.0315126746,-0.0044818822,0.0199511793,0.0024813896,2.1817e-05,,,,
2016,2.84874e-05,0.0042865118,0.0005756466,0.0002290788,-0.0010078548,0.0315048541,-0.0044806098,0.0285319898,0.0029761905,2.1817e-05,,,,
2017,4.61977e-05,0.0042849817,-0.0002876887,-0.0006867957,-0.0012594845,0.0,-0.0044718329,0.0364208711,0.0034705007,2.1817e-05,,,,
2018,0.0002273565,0.003211869,-0.0,-0.0006863301,-0.0012559311,0.0,-0.0044631073,0.0364118161,0.0039643211,2.1817e-05,,,,
2019,0.0003484489,0.004280014,0.0005750134,0.0,-0.0020043418,0.0181788137,-0.0044544326,0.0364027678,0.0044576523,2.1817e-05,,,,
2020,0.0004363406,0.0042784884,0.0011495265,0.0,-0.0024982773,0.0181743097,-0.0044458083,0.043716082,0.004950495,2.1817e-05,,,,
